store_id,region_id,store_type,store_name,store_street_address,store_city,store_state,store_country,first_opened_date,last_remodel_date
1,28,Supermarket,Store 1,2853 Bailey Rd,Acapulco,Guerrero,Mexico,1982-01-09,1990-12-05
2,78,Small Grocery,Store 2,5203 Catanzaro Way,Bellingham,WA,USA,1970-04-02,1973-06-04
3,76,Supermarket,Store 3,1501 Ramsey Circle,Bremerton,WA,USA,1959-06-14,1967-11-19
4,27,Gourmet Supermarket,Store 4,433 St George Dr,Camacho,Zacatecas,Mexico,1994-09-27,1995-12-01
5,4,Small Grocery,Store 5,1250 Coggins Drive,Guadalajara,Jalisco,Mexico,1978-09-18,1991-06-29
6,47,Gourmet Supermarket,Store 6,5495 Mitchell Canyon Road,Beverly Hills,CA,USA,1981-01-03,1991-03-13
7,3,Supermarket,Store 7,1077 Wharf Drive,Los Angeles,CA,USA,1971-05-21,1981-10-20
8,26,Deluxe Supermarket,Store 8,3173 Buena Vista Ave,Merida,Yucatan,Mexico,1958-09-23,1967-11-18
9,2,Mid-Size Grocery,Store 9,1872 El Pintado Road,Mexico City,DF,Mexico,1955-03-18,1959-06-07
10,24,Supermarket,Store 10,7894 Rotherham Dr,Orizaba,Veracruz,Mexico,1979-04-13,1982-01-30
11,22,Supermarket,Store 11,5371 Holland Circle,Portland,OR,USA,1976-09-17,1982-05-15
12,25,Deluxe Supermarket,Store 12,1120 Westchester Pl,Hidalgo,Zacatecas,Mexico,1968-03-25,1993-12-18
13,23,Deluxe Supermarket,Store 13,5179 Valley Ave,Salem,OR,USA,1957-04-13,1997-11-10
14,1,Small Grocery,Store 14,4365 Indigo Ct,San Francisco,CA,USA,1957-11-24,1958-01-07
15,18,Supermarket,Store 15,5006 Highland Drive,Seattle,WA,USA,1969-07-24,1973-10-19
16,87,Supermarket,Store 16,5922 La Salle Ct,Spokane,WA,USA,1974-08-23,1977-07-13
17,84,Deluxe Supermarket,Store 17,490 Risdon Road,Tacoma,WA,USA,1970-05-30,1976-06-23
18,25,Mid-Size Grocery,Store 18,6764 Glen Road,Hidalgo,Zacatecas,Mexico,1969-06-28,1975-08-30
19,5,Deluxe Supermarket,Store 19,6644 Sudance Drive,Vancouver,BC,Canada,1977-03-27,1990-10-25
20,6,Mid-Size Grocery,Store 20,3706 Marvelle Ln,Victoria,BC,Canada,1980-02-06,1987-04-09
21,106,Deluxe Supermarket,Store 21,4093 Steven Circle,San Andres,DF,Mexico,1986-02-07,1990-04-16
22,88,Small Grocery,Store 22,9606 Julpum Loop,Walla Walla,WA,USA,1951-01-24,1969-10-17
23,89,Mid-Size Grocery,Store 23,3920 Noah Court,Yakima,WA,USA,1977-07-16,1987-07-24
24,7,Supermarket,Store 24,2342 Waltham St.,San Diego,CA,USA,1979-05-22,1986-04-20
